DATE,PA_conc,strain1,strain1,strain1,strain2,strain2,strain2,strain3,strain3,strain3,strain4,strain4,strain4,strain5,strain5,strain5,strain6,strain6,strain6,strain7,strain7,strain7,strain8,strain8,strain8,strain9,strain9,strain9,strain10,strain10,strain10,strain11,strain11,strain11,strain12,strain12,strain12
10132015,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
10132015,20,100,100,100,100,100,100,100,100,98.3606557377049,99.3377483443709,98.2142857142857,99.2805755395683,100,100,100,100,100,100,96.1538461538462,98.1308411214953,100,100,100,99.236641221374,100,100,100,100,100,100,100,100,100,100,100,100
10132015,40,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
10132015,60,98.9010989010989,100,100,98.9010989010989,98.2905982905983,97.5409836065574,92.8571428571429,96.9387755102041,97.65625,97.2222222222222,95.8579881656805,96.969696969697,98.2658959537572,96.4467005076142,97.8947368421053,100,100,100,96.1538461538462,96.7741935483871,92.436974789916,92.3076923076923,91.1764705882353,97.4025974025974,94.9720670391062,98.159509202454,97.2222222222222,99.009900990099,98.9583333333333,100,97.65625,97.7443609022556,98.4496124031008,97.4576271186441,99.1735537190083,99.236641221374
10132015,80,25,28.1481481481481,22.3529411764706,96.1832061068702,94.9044585987261,97.6047904191617,28.3018867924528,35.2941176470588,31.8181818181818,29.0322580645161,37.888198757764,26.9461077844311,22.2929936305732,27.0588235294118,27.7173913043478,92.4528301886792,83.3333333333333,94.5945945945946,21.1267605633803,38.3177570093458,37.8787878787879,44.1558441558442,21.7821782178218,37.6623376623377,97.2972972972973,86.7924528301887,89.9497487437186,31.6455696202532,32.4324324324324,40.1408450704225,46.9026548672566,43.1654676258993,38.4615384615385,51.8867924528302,55.9322033898305,51.7241379310345
10132015,100,10.2362204724409,1.78571428571429,7.82608695652174,23.841059602649,22.8571428571429,27.4611398963731,0,3.33333333333333,3.33333333333333,18.8679245283019,17.8571428571429,17.8082191780822,7.79220779220779,9.03614457831325,6.56565656565657,15.4929577464789,14.8148148148148,24.6031746031746,0,0,0,5.79710144927536,8.54700854700855,14.3939393939394,54.5454545454545,32.2147651006711,54.9295774647887,2.29885057471264,1.69491525423729,2.3121387283237,13.5135135135135,19.3548387096774,14.0625,1.51515151515152,4.08163265306122,3.84615384615385
10132015,120,2.54237288135593,0,0.884955752212389,3.54609929078014,2.22222222222222,9.70149253731343,0,0,0,2.1978021978022,0.578034682080925,2.1505376344086,5.59440559440559,3.78787878787879,4.76190476190476,3.03030303030303,7.80141843971631,3.57142857142857,0,0,0,0,0,0,3.55329949238579,2.29885057471264,5.79710144927536,0,0,0,0,0,0,0,0,0
10132015,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.10497237569061,1.55440414507772,0,0,0,0,0,0,0,0,0,0
10152015,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
10152015,20,100,100,100,100,100,100,100,100,100,96.5116279069768,100,94.2528735632184,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
