day	Dose	pheno	strain_name
1	80 mM	83.0769230769231	CX11314
2	80 mM	33.7349397590361	CX11314
3	80 mM	17.0454545454545	CX11314
1	80 mM	89.0909090909091	CX11314
2	80 mM	40	CX11314
3	80 mM	23.8461538461538	CX11314
1	80 mM	60	CX11314
2	80 mM	26.5957446808511	CX11314
3	80 mM	27.5862068965517	CX11314
1	80 mM	100	EG4725
2	80 mM	90.7407407407407	EG4725
3	80 mM	97.6190476190476	EG4725
1	80 mM	97.1014492753623	EG4725
2	80 mM	95.7446808510638	EG4725
3	80 mM	93.3333333333333	EG4725
1	80 mM	100	EG4725
2	80 mM	95.7746478873239	EG4725
3	80 mM	90.6666666666667	EG4725
1	80 mM	40.9090909090909	JU775
2	80 mM	58.6538461538462	JU775
3	80 mM	38.4615384615385	JU775
1	80 mM	32	JU775
2	80 mM	38.8349514563107	JU775
3	80 mM	39.7590361445783	JU775
1	80 mM	54.2553191489362	JU775
2	80 mM	52.9411764705882	JU775
3	80 mM	40.3508771929825	JU775
1	80 mM	NA	MY23
2	80 mM	55.0724637681159	MY23
3	80 mM	35.7142857142857	MY23
1	80 mM	NA	MY23
2	80 mM	48.9795918367347	MY23
3	80 mM	44.3298969072165	MY23
1	80 mM	NA	MY23
2	80 mM	42.3076923076923	MY23
3	80 mM	60	MY23
1	80 mM	31.9148936170213	JT11398
2	80 mM	47.7272727272727	JT11398
3	80 mM	23.6559139784946	JT11398
1	80 mM	23.3333333333333	JT11398
2	80 mM	24.7422680412371	JT11398
3	80 mM	23.5294117647059	JT11398
1	80 mM	34.0659340659341	JT11398
2	80 mM	23.3644859813084	JT11398
3	80 mM	17.6923076923077	JT11398
1	80 mM	91.6666666666667	MY16
2	80 mM	39.4736842105263	MY16
3	80 mM	92.3076923076923	MY16
1	80 mM	76.4705882352941	MY16
2	80 mM	56.25	MY16
3	80 mM	85.3658536585366	MY16
1	80 mM	81.0810810810811	MY16
2	80 mM	74.0740740740741	MY16
3	80 mM	80.5369127516778	MY16
1	80 mM	80.8219178082192	CB4856
2	80 mM	35.8695652173913	CB4856
3	80 mM	48.9795918367347	CB4856
1	80 mM	64.9350649350649	CB4856
2	80 mM	30.188679245283	CB4856
3	80 mM	56	CB4856
1	80 mM	76.8421052631579	CB4856
2	80 mM	47.0588235294118	CB4856
3	80 mM	47.787610619469	CB4856
1	80 mM	48.1481481481481	JU258
2	80 mM	54	JU258
3	80 mM	36.2962962962963	JU258
1	80 mM	63.5294117647059	JU258
2	80 mM	48.314606741573	JU258
3	80 mM	40.6779661016949	JU258
1	80 mM	50	JU258
2	80 mM	51.4705882352941	JU258
3	80 mM	52.9411764705882	JU258
1	80 mM	78.9473684210526	DL238
2	80 mM	50	DL238
3	80 mM	87.378640776699	DL238
1	80 mM	100	DL238
2	80 mM	80.5555555555556	DL238
3	80 mM	86.1702127659574	DL238
1	80 mM	81.6901408450704	DL238
2	80 mM	46.6666666666667	DL238
3	80 mM	98.9690721649485	DL238
1	80 mM	43.956043956044	N2
2	80 mM	75.609756097561	N2
3	80 mM	48.780487804878	N2
1	80 mM	47.3214285714286	N2
2	80 mM	64.7727272727273	N2
3	80 mM	34.4827586206897	N2
1	80 mM	54.7368421052632	N2
2	80 mM	57.4712643678161	N2
3	80 mM	37.5	N2
1	80 mM	18.6274509803922	E03017
2	80 mM	18.3823529411765	E03017
3	80 mM	48.8888888888889	E03017
1	80 mM	27.1604938271605	E03017
2	80 mM	8.26446280991736	E03017
3	80 mM	47.9591836734694	E03017
1	80 mM	27.5	E03017
2	80 mM	8.16326530612245	E03017
3	80 mM	50.8196721311475	E03017
1	80 mM	44.0944881889764	LKC34
2	80 mM	55.5555555555556	LKC34
3	80 mM	57.4712643678161	LKC34
1	80 mM	37.1951219512195	LKC34
2	80 mM	48.6486486486487	LKC34
3	80 mM	44.6601941747573	LKC34
