date	pa_conc	strain	replicate	pheno
10132015	0	CX11314	A	100
10132015	20	CX11314	A	100
10132015	40	CX11314	A	100
10132015	60	CX11314	A	98.9010989010989
10132015	80	CX11314	A	25
10132015	100	CX11314	A	10.2362204724409
10132015	120	CX11314	A	2.54237288135593
10132015	140	CX11314	A	0
10152015	0	CX11314	A	100
10152015	20	CX11314	A	100
10152015	40	CX11314	A	100
10152015	60	CX11314	A	100
10152015	80	CX11314	A	98.75
10152015	100	CX11314	A	0
10152015	120	CX11314	A	0
10152015	140	CX11314	A	0
10192015	0	CX11314	A	100
10192015	20	CX11314	A	98.6111111111111
10192015	40	CX11314	A	97.2222222222222
10192015	60	CX11314	A	97.7011494252874
10192015	80	CX11314	A	67.1875
10192015	100	CX11314	A	1.92307692307692
10192015	120	CX11314	A	0
10192015	140	CX11314	A	0
10132015	0	CX11314	B	100
10132015	20	CX11314	B	100
10132015	40	CX11314	B	100
10132015	60	CX11314	B	100
10132015	80	CX11314	B	28.1481481481481
10132015	100	CX11314	B	1.78571428571429
10132015	120	CX11314	B	0
10132015	140	CX11314	B	0
10152015	0	CX11314	B	100
10152015	20	CX11314	B	100
10152015	40	CX11314	B	100
10152015	60	CX11314	B	100
10152015	80	CX11314	B	96.875
10152015	100	CX11314	B	0
10152015	120	CX11314	B	0
10152015	140	CX11314	B	0
10192015	0	CX11314	B	100
10192015	20	CX11314	B	97.2972972972973
10192015	40	CX11314	B	100
10192015	60	CX11314	B	97.9591836734694
10192015	80	CX11314	B	73.9130434782609
10192015	100	CX11314	B	0
10192015	120	CX11314	B	1.31578947368421
10192015	140	CX11314	B	0
10132015	0	CX11314	C	100
10132015	20	CX11314	C	100
10132015	40	CX11314	C	100
10132015	60	CX11314	C	100
10132015	80	CX11314	C	22.3529411764706
10132015	100	CX11314	C	7.82608695652174
10132015	120	CX11314	C	0.884955752212389
10132015	140	CX11314	C	0
10152015	0	CX11314	C	100
10152015	20	CX11314	C	100
10152015	40	CX11314	C	100
10152015	60	CX11314	C	100
10152015	80	CX11314	C	92.7710843373494
10152015	100	CX11314	C	0
10152015	120	CX11314	C	0
10152015	140	CX11314	C	0
10192015	0	CX11314	C	100
10192015	20	CX11314	C	96.3414634146341
10192015	40	CX11314	C	98.6486486486486
10192015	60	CX11314	C	98.8888888888889
10192015	80	CX11314	C	77.1428571428572
10192015	100	CX11314	C	1.0989010989011
10192015	120	CX11314	C	0
10192015	140	CX11314	C	0
10132015	0	EG4725	A	100
10132015	20	EG4725	A	100
10132015	40	EG4725	A	100
10132015	60	EG4725	A	98.9010989010989
10132015	80	EG4725	A	96.1832061068702
10132015	100	EG4725	A	23.841059602649
10132015	120	EG4725	A	3.54609929078014
10132015	140	EG4725	A	0
10152015	0	EG4725	A	100
10152015	20	EG4725	A	100
10152015	40	EG4725	A	100
10152015	60	EG4725	A	100
10152015	80	EG4725	A	100
10152015	100	EG4725	A	78.0487804878049
10152015	120	EG4725	A	16.25
10152015	140	EG4725	A	0
10192015	0	EG4725	A	100
10192015	20	EG4725	A	100
10192015	40	EG4725	A	98.8888888888889
10192015	60	EG4725	A	100
10192015	80	EG4725	A	99.1596638655462
10192015	100	EG4725	A	73.6842105263158
10192015	120	EG4725	A	8.64197530864197
10192015	140	EG4725	A	0
10132015	0	EG4725	B	100
10132015	20	EG4725	B	100
10132015	40	EG4725	B	100
10132015	60	EG4725	B	98.2905982905983
10132015	80	EG4725	B	94.9044585987261
10132015	100	EG4725	B	22.8571428571429
10132015	120	EG4725	B	2.22222222222222
10132015	140	EG4725	B	0
10152015	0	EG4725	B	100
10152015	20	EG4725	B	100
10152015	40	EG4725	B	100
10152015	60	EG4725	B	100
10152015	80	EG4725	B	100
10152015	100	EG4725	B	93.75
10152015	120	EG4725	B	28.0898876404494
10152015	140	EG4725	B	0
10192015	0	EG4725	B	99.0196078431373
10192015	20	EG4725	B	100
10192015	40	EG4725	B	100
10192015	60	EG4725	B	100
10192015	80	EG4725	B	99.0740740740741
10192015	100	EG4725	B	84.4155844155844
10192015	120	EG4725	B	7.95454545454545
10192015	140	EG4725	B	0
10132015	0	EG4725	C	100
10132015	20	EG4725	C	100
10132015	40	EG4725	C	100
10132015	60	EG4725	C	97.5409836065574
10132015	80	EG4725	C	97.6047904191617
10132015	100	EG4725	C	27.4611398963731
10132015	120	EG4725	C	9.70149253731343
10132015	140	EG4725	C	0
10152015	0	EG4725	C	100
10152015	20	EG4725	C	100
10152015	40	EG4725	C	99.1228070175439
10152015	60	EG4725	C	100
10152015	80	EG4725	C	97.029702970297
10152015	100	EG4725	C	90.5882352941177
10152015	120	EG4725	C	15
10152015	140	EG4725	C	0
10192015	0	EG4725	C	100
10192015	20	EG4725	C	100
10192015	40	EG4725	C	100
10192015	60	EG4725	C	100
10192015	80	EG4725	C	100
10192015	100	EG4725	C	76.1904761904762
