date	pa_conc	strain	replicate	pheno	dose_mean
10132015	0	CX11314	A	100	100
10132015	20	CX11314	A	100	99.13887464700473
10132015	40	CX11314	A	100	99.5412078745412
10132015	60	CX11314	A	98.9010989010989	99.27225787652718
10132015	80	CX11314	A	25	64.68228603145403
10132015	100	CX11314	A	10.2362204724409	2.5411110818505502
10132015	120	CX11314	A	2.54237288135593	0.5270131230280588
10132015	140	CX11314	A	0	0
10152015	0	CX11314	A	100	100
10152015	20	CX11314	A	100	99.13887464700473
10152015	40	CX11314	A	100	99.5412078745412
10152015	60	CX11314	A	100	99.27225787652718
10152015	80	CX11314	A	98.75	64.68228603145403
10152015	100	CX11314	A	0	2.5411110818505502
10152015	120	CX11314	A	0	0.5270131230280588
10152015	140	CX11314	A	0	0
10192015	0	CX11314	A	100	100
10192015	20	CX11314	A	98.6111111111111	99.13887464700473
10192015	40	CX11314	A	97.2222222222222	99.5412078745412
10192015	60	CX11314	A	97.7011494252874	99.27225787652718
10192015	80	CX11314	A	67.1875	64.68228603145403
10192015	100	CX11314	A	1.92307692307692	2.5411110818505502
10192015	120	CX11314	A	0	0.5270131230280588
10192015	140	CX11314	A	0	0
10132015	0	CX11314	B	100	100
10132015	20	CX11314	B	100	99.13887464700473
10132015	40	CX11314	B	100	99.5412078745412
10132015	60	CX11314	B	100	99.27225787652718
10132015	80	CX11314	B	28.1481481481481	64.68228603145403
10132015	100	CX11314	B	1.78571428571429	2.5411110818505502
10132015	120	CX11314	B	0	0.5270131230280588
10132015	140	CX11314	B	0	0
10152015	0	CX11314	B	100	100
10152015	20	CX11314	B	100	99.13887464700473
10152015	40	CX11314	B	100	99.5412078745412
10152015	60	CX11314	B	100	99.27225787652718
10152015	80	CX11314	B	96.875	64.68228603145403
10152015	100	CX11314	B	0	2.5411110818505502
10152015	120	CX11314	B	0	0.5270131230280588
10152015	140	CX11314	B	0	0
10192015	0	CX11314	B	100	100
10192015	20	CX11314	B	97.2972972972973	99.13887464700473
10192015	40	CX11314	B	100	99.5412078745412
10192015	60	CX11314	B	97.9591836734694	99.27225787652718
10192015	80	CX11314	B	73.9130434782609	64.68228603145403
10192015	100	CX11314	B	0	2.5411110818505502
10192015	120	CX11314	B	1.31578947368421	0.5270131230280588
10192015	140	CX11314	B	0	0
10132015	0	CX11314	C	100	100
10132015	20	CX11314	C	100	99.13887464700473
10132015	40	CX11314	C	100	99.5412078745412
10132015	60	CX11314	C	100	99.27225787652718
10132015	80	CX11314	C	22.3529411764706	64.68228603145403
10132015	100	CX11314	C	7.82608695652174	2.5411110818505502
10132015	120	CX11314	C	0.884955752212389	0.5270131230280588
10132015	140	CX11314	C	0	0
10152015	0	CX11314	C	100	100
10152015	20	CX11314	C	100	99.13887464700473
10152015	40	CX11314	C	100	99.5412078745412
10152015	60	CX11314	C	100	99.27225787652718
10152015	80	CX11314	C	92.7710843373494	64.68228603145403
10152015	100	CX11314	C	0	2.5411110818505502
10152015	120	CX11314	C	0	0.5270131230280588
10152015	140	CX11314	C	0	0
10192015	0	CX11314	C	100	100
10192015	20	CX11314	C	96.3414634146341	99.13887464700473
10192015	40	CX11314	C	98.6486486486486	99.5412078745412
10192015	60	CX11314	C	98.8888888888889	99.27225787652718
10192015	80	CX11314	C	77.1428571428572	64.68228603145403
10192015	100	CX11314	C	1.0989010989011	2.5411110818505502
10192015	120	CX11314	C	0	0.5270131230280588
10192015	140	CX11314	C	0	0
10132015	0	EG4725	A	100	99.89106753812636
10132015	20	EG4725	A	100	100
10132015	40	EG4725	A	100	99.77907732293698
10132015	60	EG4725	A	98.9010989010989	99.41474231091718
10132015	80	EG4725	A	96.1832061068702	98.21732178163059
10132015	100	EG4725	A	23.841059602649	63.42629214116267
10132015	120	EG4725	A	3.54609929078014	12.292999076080202
10132015	140	EG4725	A	0	0.12077294685990332
10152015	0	EG4725	A	100	99.89106753812636
10152015	20	EG4725	A	100	100
10152015	40	EG4725	A	100	99.77907732293698
10152015	60	EG4725	A	100	99.41474231091718
10152015	80	EG4725	A	100	98.21732178163059
10152015	100	EG4725	A	78.0487804878049	63.42629214116267
10152015	120	EG4725	A	16.25	12.292999076080202
10152015	140	EG4725	A	0	0.12077294685990332
10192015	0	EG4725	A	100	99.89106753812636
10192015	20	EG4725	A	100	100
10192015	40	EG4725	A	98.8888888888889	99.77907732293698
10192015	60	EG4725	A	100	99.41474231091718
10192015	80	EG4725	A	99.1596638655462	98.21732178163059
10192015	100	EG4725	A	73.6842105263158	63.42629214116267
10192015	120	EG4725	A	8.64197530864197	12.292999076080202
10192015	140	EG4725	A	0	0.12077294685990332
10132015	0	EG4725	B	100	99.89106753812636
10132015	20	EG4725	B	100	100
10132015	40	EG4725	B	100	99.77907732293698
10132015	60	EG4725	B	98.2905982905983	99.41474231091718
10132015	80	EG4725	B	94.9044585987261	98.21732178163059
10132015	100	EG4725	B	22.8571428571429	63.42629214116267
10132015	120	EG4725	B	2.22222222222222	12.292999076080202
10132015	140	EG4725	B	0	0.12077294685990332
10152015	0	EG4725	B	100	99.89106753812636
10152015	20	EG4725	B	100	100
10152015	40	EG4725	B	100	99.77907732293698
10152015	60	EG4725	B	100	99.41474231091718
10152015	80	EG4725	B	100	98.21732178163059
10152015	100	EG4725	B	93.75	63.42629214116267
10152015	120	EG4725	B	28.0898876404494	12.292999076080202
10152015	140	EG4725	B	0	0.12077294685990332
10192015	0	EG4725	B	99.0196078431373	99.89106753812636
10192015	20	EG4725	B	100	100
10192015	40	EG4725	B	100	99.77907732293698
10192015	60	EG4725	B	100	99.41474231091718
10192015	80	EG4725	B	99.0740740740741	98.21732178163059
10192015	100	EG4725	B	84.4155844155844	63.42629214116267
10192015	120	EG4725	B	7.95454545454545	12.292999076080202
10192015	140	EG4725	B	0	0.12077294685990332
10132015	0	EG4725	C	100	99.89106753812636
10132015	20	EG4725	C	100	100
10132015	40	EG4725	C	100	99.77907732293698
10132015	60	EG4725	C	97.5409836065574	99.41474231091718
10132015	80	EG4725	C	97.6047904191617	98.21732178163059
10132015	100	EG4725	C	27.4611398963731	63.42629214116267
10132015	120	EG4725	C	9.70149253731343	12.292999076080202
10132015	140	EG4725	C	0	0.12077294685990332
10152015	0	EG4725	C	100	99.89106753812636
10152015	20	EG4725	C	100	100
10152015	40	EG4725	C	99.1228070175439	99.77907732293698
10152015	60	EG4725	C	100	99.41474231091718
10152015	80	EG4725	C	97.029702970297	98.21732178163059
10152015	100	EG4725	C	90.5882352941177	63.42629214116267
10152015	120	EG4725	C	15	12.292999076080202
10152015	140	EG4725	C	0	0.12077294685990332
10192015	0	EG4725	C	100	99.89106753812636
10192015	20	EG4725	C	100	100
10192015	40	EG4725	C	100	99.77907732293698
10192015	60	EG4725	C	100	99.41474231091718
10192015	80	EG4725	C	100	98.21732178163059
10192015	100	EG4725	C	76.1904761904762	63.42629214116267
10192015	120	EG4725	C	19.2307692307692	12.292999076080202
10192015	140	EG4725	C	1.08695652173913	0.12077294685990332
10132015	0	JU775	A	100	99.8980632008155
10132015	20	JU775	A	100	99.59562841530054
10132015	40	JU775	A	100	99.36203318735214
10132015	60	JU775	A	92.8571428571429	98.20246188381297
10132015	80	JU775	A	28.3018867924528	70.25427626590695
10132015	100	JU775	A	0	1.7969667345211104
10132015	120	JU775	A	0	0
10132015	140	JU775	A	0	0
10152015	0	JU775	A	100	99.8980632008155
10152015	20	JU775	A	100	99.59562841530054
10152015	40	JU775	A	98.4251968503937	99.36203318735214
10152015	60	JU775	A	100	98.20246188381297
10152015	80	JU775	A	98.8372093023256	70.25427626590695
10152015	100	JU775	A	0.862068965517241	1.7969667345211104
10152015	120	JU775	A	0	0
10152015	140	JU775	A	0	0
10192015	0	JU775	A	100	99.8980632008155
10192015	20	JU775	A	100	99.59562841530054
10192015	40	JU775	A	100	99.36203318735214
10192015	60	JU775	A	98.2142857142857	98.20246188381297
10192015	80	JU775	A	82.2916666666667	70.25427626590695
10192015	100	JU775	A	3.06122448979592	1.7969667345211104
10192015	120	JU775	A	0	0
10192015	140	JU775	A	0	0
10132015	0	JU775	B	100	99.8980632008155
10132015	20	JU775	B	100	99.59562841530054
10132015	40	JU775	B	100	99.36203318735214
10132015	60	JU775	B	96.9387755102041	98.20246188381297
10132015	80	JU775	B	35.2941176470588	70.25427626590695
10132015	100	JU775	B	3.33333333333333	1.7969667345211104
10132015	120	JU775	B	0	0
10132015	140	JU775	B	0	0
10152015	0	JU775	B	100	99.8980632008155
10152015	20	JU775	B	100	99.59562841530054
10152015	40	JU775	B	99.1666666666667	99.36203318735214
10152015	60	JU775	B	100	98.20246188381297
10152015	80	JU775	B	98.0952380952381	70.25427626590695
10152015	100	JU775	B	0	1.7969667345211104
10152015	120	JU775	B	0	0
10152015	140	JU775	B	0	0
10192015	0	JU775	B	99.0825688073395	99.8980632008155
10192015	20	JU775	B	100	99.59562841530054
10192015	40	JU775	B	98.3193277310924	99.36203318735214
10192015	60	JU775	B	99.0566037735849	98.20246188381297
10192015	80	JU775	B	80.8080808080808	70.25427626590695
10192015	100	JU775	B	3	1.7969667345211104
10192015	120	JU775	B	0	0
10192015	140	JU775	B	0	0
10132015	0	JU775	C	100	99.8980632008155
10132015	20	JU775	C	98.3606557377049	99.59562841530054
10132015	40	JU775	C	100	99.36203318735214
10132015	60	JU775	C	97.65625	98.20246188381297
