H2	Dose	Concentration	value	sample_n	n_conc
0.43	80 mM	80	mM	1	80
0.48	80 mM	80	mM	2	80
0.41	80 mM	80	mM	3	80
0.45	80 mM	80	mM	4	80
0.66	80 mM	80	mM	5	80
0.79	80 mM	80	mM	6	80
0.59	80 mM	80	mM	7	80
0.57	80 mM	80	mM	8	80
0.69	80 mM	80	mM	9	80
0.68	80 mM	80	mM	10	80
0.6	80 mM	80	mM	11	80
0.63	80 mM	80	mM	12	80
0.59	90 mM	90	mM	1	90
0.6	90 mM	90	mM	2	90
0.63	90 mM	90	mM	3	90
0.53	90 mM	90	mM	4	90
0.43	90 mM	90	mM	5	90
0.33	90 mM	90	mM	6	90
0.48	90 mM	90	mM	7	90
0.6	90 mM	90	mM	8	90
0.69	90 mM	90	mM	9	90
0.45	90 mM	90	mM	10	90
0.48	90 mM	90	mM	11	90
0.48	90 mM	90	mM	12	90
0.72	100 mM	100	mM	1	100
0.66	100 mM	100	mM	2	100
0.67	100 mM	100	mM	3	100
0.7	100 mM	100	mM	4	100
0.79	100 mM	100	mM	5	100
0.73	100 mM	100	mM	6	100
0.81	100 mM	100	mM	7	100
0.75	100 mM	100	mM	8	100
0.69	100 mM	100	mM	9	100
0.68	100 mM	100	mM	10	100
0.68	100 mM	100	mM	11	100
0.62	100 mM	100	mM	12	100
0.54	110 mM	110	mM	1	110
0.64	110 mM	110	mM	2	110
0.56	110 mM	110	mM	3	110
0.82	110 mM	110	mM	4	110
0.3	110 mM	110	mM	5	110
0.37	110 mM	110	mM	6	110
0.83	110 mM	110	mM	7	110
0.68	110 mM	110	mM	8	110
0.59	110 mM	110	mM	9	110
0.56	110 mM	110	mM	10	110
0.89	110 mM	110	mM	11	110
0.65	110 mM	110	mM	12	110
0.87	120 mM	120	mM	1	120
0.77	120 mM	120	mM	2	120
0.61	120 mM	120	mM	3	120
0.78	120 mM	120	mM	4	120
0.85	120 mM	120	mM	5	120
0.74	120 mM	120	mM	6	120
0.78	120 mM	120	mM	7	120
0.74	120 mM	120	mM	8	120
0.79	120 mM	120	mM	9	120
0.88	120 mM	120	mM	10	120
0.74	120 mM	120	mM	11	120
0.58	120 mM	120	mM	12	120
