CHROM	startWindow	endWindow	statistic	value	scaled_value	q10	outlier
I	2	10001	theta_Watterson	11.3233030325782	-0.539692578030717	106.043791321001	not
I	1002	11001	theta_Watterson	12.2645101529128	-0.481450601386116	106.043791321001	not
I	2002	12001	theta_Watterson	12.5531193006963	-0.463591442778548	106.043791321001	not
I	3002	13001	theta_Watterson	13.808062127809	-0.385935473919081	106.043791321001	not
I	4002	14001	theta_Watterson	13.0205586660271	-0.434666255101805	106.043791321001	not
I	5002	15001	theta_Watterson	11.6088228161087	-0.522024589545841	106.043791321001	not
I	6002	16001	theta_Watterson	12.23666928227	-0.483173396829022	106.043791321001	not
I	7002	17001	theta_Watterson	13.0210085492154	-0.434638416291855	106.043791321001	not
I	8002	18001	theta_Watterson	13.8053478161608	-0.386103435754688	106.043791321001	not
I	9002	19001	theta_Watterson	14.2911691185372	-0.356040772250402	106.043791321001	not
I	10002	20001	theta_Watterson	15.3893192227402	-0.288087150417916	106.043791321001	not
I	11002	21001	theta_Watterson	15.8599227829075	-0.258966162095616	106.043791321001	not
I	12002	22001	theta_Watterson	14.7618478091839	-0.32691513484765	106.043791321001	not
I	13002	23001	theta_Watterson	14.6051296169616	-0.336612869909355	106.043791321001	not
I	14002	24001	theta_Watterson	16.3388051279842	-0.229332881859105	106.043791321001	not
I	15002	25001	theta_Watterson	17.4368052711245	-0.161388539629935	106.043791321001	not
I	16002	26001	theta_Watterson	17.7500910947143	-0.142002386225018	106.043791321001	not
I	17002	27001	theta_Watterson	16.8088839743798	-0.200244362869619	106.043791321001	not
I	18002	28001	theta_Watterson	16.1814125608234	-0.239072347299352	106.043791321001	not
I	19002	29001	theta_Watterson	15.0685703256458	-0.307935119445938	106.043791321001	not
I	20002	30001	theta_Watterson	13.3428739773031	-0.414721356231022	106.043791321001	not
I	21002	31001	theta_Watterson	13.5005697914498	-0.4049631258415	106.043791321001	not
I	22002	32001	theta_Watterson	12.8730983778934	-0.443791110271233	106.043791321001	not
I	23002	33001	theta_Watterson	13.9712481822004	-0.375837506996335	106.043791321001	not
I	24002	34001	theta_Watterson	13.3544499784824	-0.414005032293649	106.043791321001	not
