Gene	RANGE	N_INFORMATIVE	NumVar	NumPolyVar	Q	Pvalue	NumPerm	ActualPerm	Stat	NumGreater	NumEqual	PermPvalue	CHROM	POS	endPOS	size	significant
WBGene00011781	I:12385765-12388791	129	125	124	551843000	2.7949e-07	10000	10000	551843000	1	0	1e-04	I	12385765	12388791	3026	TRUE
WBGene00019473	V:3936373-3938496	129	381	380	936813000	1.11818e-06	10000	10000	936813000	0	0	0	V	3936373	3938496	2123	TRUE
WBGene00201448	I:11943665-11943815	129	6	6	6930290	4.27134e-06	10000	10000	6930290	0	0	0	I	11943665	11943815	150	FALSE
WBGene00005955	V:3929522-3930678	129	236	236	345254000	6.5248e-06	10000	10000	345254000	1	0	1e-04	V	3929522	3930678	1156	FALSE
WBGene00196242	V:3939356-3939458	129	14	14	20537600	8.50811e-06	10000	10000	20537600	0	0	0	V	3939356	3939458	102	FALSE
WBGene00005954	V:3931625-3933394	129	238	238	392640000	8.55629e-06	10000	10000	392640000	0	0	0	V	3931625	3933394	1769	FALSE
WBGene00019568	V:3997123-4001465	129	365	365	954023000	9.00442e-06	10000	10000	954023000	0	0	0	V	3997123	4001465	4342	FALSE
WBGene00005959	V:3912808-3914597	129	301	300	835490000	9.31742e-06	10000	10000	835490000	1	0	1e-04	V	3912808	3914597	1789	FALSE
WBGene00019567	V:3992654-3994180	129	149	148	586963000	1.21227e-05	10000	10000	586963000	1	0	1e-04	V	3992654	3994180	1526	FALSE
WBGene00005953	V:3994779-3995938	129	109	109	328023000	1.25608e-05	10000	10000	328023000	2	0	2e-04	V	3994779	3995938	1159	FALSE
WBGene00019472	V:3939126-3941235	129	301	300	943020000	1.45348e-05	10000	10000	943020000	0	0	0	V	3939126	3941235	2109	FALSE
WBGene00005234	V:4005566-4007517	129	168	168	201287000	1.70132e-05	10000	10000	201287000	0	0	0	V	4005566	4007517	1951	FALSE
WBGene00010652	I:11483391-11484571	129	18	18	13194100	1.92882e-05	10000	10000	13194100	1	0	1e-04	I	11483391	11484571	1180	FALSE
WBGene00020606	V:3907792-3908381	129	110	110	189153000	2.06434e-05	10000	10000	189153000	0	0	0	V	3907792	3908381	589	FALSE
WBGene00005956	V:3921934-3922964	129	145	145	256559000	2.09655e-05	10000	10000	256559000	0	0	0	V	3921934	3922964	1030	FALSE
WBGene00015041	V:3958238-3961189,V:3958238-3961358	129	141	141	248602000	2.98542e-05	10000	10000	248602000	5	0	5e-04	V	3958238	3961189	2951	FALSE
WBGene00006260	V:3900496-3902558	129	27	27	25330400	3.63706e-05	10000	10000	25330400	1	0	1e-04	V	3900496	3902558	2062	FALSE
WBGene00019471	V:3942214-3944519	129	311	311	472787000	3.72274e-05	10000	10000	472787000	0	0	0	V	3942214	3944519	2305	FALSE
WBGene00020386	V:3950026-3952068	129	193	193	269742000	5.04248e-05	10000	10000	269742000	3	0	3e-04	V	3950026	3952068	2042	FALSE
WBGene00006274	V:3954038-3955460	129	160	160	276071000	6.54129e-05	10000	10000	276071000	6	0	6e-04	V	3954038	3955460	1422	FALSE
WBGene00015040	V:3955765-3957715	129	239	239	385205000	6.7602e-05	10000	10000	385205000	1	0	1e-04	V	3955765	3957715	1950	FALSE
WBGene00008853	I:11560621-11564387	129	78	78	52787600	0.000105739	10000	10000	52787600	8	0	8e-04	I	11560621	11564387	3766	FALSE
WBGene00008856	I:11572089-11577488	129	201	201	91393400	0.000113583	10000	10000	91393400	3	0	3e-04	I	11572089	11577488	5399	FALSE
WBGene00005754	V:3806260-3807752	129	150	150	129640000	0.000134818	10000	10000	129640000	1	0	1e-04	V	3806260	3807752	1492	FALSE
WBGene00198542	X:15010169-15010286	129	3	3	2338020	0.000141523	10000	10000	2338020	6	0	6e-04	X	15010169	15010286	117	FALSE
WBGene00003667	I:12384276-12385731	129	94	94	71130600	0.000164026	10000	10000	71130600	0	0	0	I	12384276	12385731	1455	FALSE
WBGene00197014	I:10674282-10674414	129	3	3	2250030	0.000194548	10000	10000	2250030	11	0	0.0011	I	10674282	10674414	132	FALSE
WBGene00021555	V:4175886-4181354	129	94	93	70420100	0.000200557	10000	10000	70420100	2	0	2e-04	V	4175886	4181354	5468	FALSE
WBGene00009313	I:11512820-11513833	129	20	19	18374300	0.000212978	10000	10000	18374300	8	0	8e-04	I	11512820	11513833	1013	FALSE
WBGene00019371	II:6431260-6431875	129	3	3	1794120	0.000218006	10000	10000	1794120	8	0	8e-04	II	6431260	6431875	615	FALSE
WBGene00201075	I:10400396-10400619	129	2	2	2298360	0.000251955	10000	10000	2298360	5	0	5e-04	I	10400396	10400619	223	FALSE
WBGene00050875	I:11465141-11467609	129	65	65	66283400	0.000277281	10000	10000	66283400	9	0	9e-04	I	11465141	11467609	2468	FALSE
WBGene00014189	I:11477821-11480071	129	38	38	18366000	0.000291284	10000	10000	18366000	5	0	5e-04	I	11477821	11480071	2250	FALSE
WBGene00007435	II:8040005-8041737	129	10	10	12842100	0.000305038	10000	10000	12842100	5	0	5e-04	II	8040005	8041737	1732	FALSE
WBGene00009314	I:11517565-11526562,I:11521831-11526962,I:11517671-11526962,I:11521829-11526562	129	167	166	107342000	0.000334958	10000	10000	107342000	13	0	0.0013	I	11517565	11526562	8997	FALSE
WBGene00202154	V:3945609-3945679	129	4	4	4068290	0.000335274	10000	10000	4068290	5	0	5e-04	V	3945609	3945679	70	FALSE
WBGene00007744	II:8325465-8329658	129	6	6	8514430	0.000340959	10000	10000	8514430	9	0	9e-04	II	8325465	8329658	4193	FALSE
WBGene00009315	I:11517846-11520660,I:11517846-11519193,I:11517747-11520455	129	48	48	27357600	0.000362624	10000	10000	27357600	12	0	0.0012	I	11517846	11520660	2814	FALSE
WBGene00016782	V:4043915-4045001,V:4043915-4044951	129	50	50	37902100	0.000363261	10000	10000	37902100	6	0	6e-04	V	4043915	4045001	1086	FALSE
WBGene00017412	V:4393427-4396534	129	61	61	32444500	0.000377929	10000	10000	32444500	10	0	0.001	V	4393427	4396534	3107	FALSE
WBGene00019968	V:3803856-3805527	129	162	162	134367000	0.000380936	10000	10000	134367000	10	0	0.001	V	3803856	3805527	1671	FALSE
WBGene00196892	II:10072418-10072636	129	2	1	817112	0.000386893	10000	10000	817112	22	1	0.00225	II	10072418	10072636	218	FALSE
WBGene00201229	II:10072339-10072597	129	2	1	818251	0.000386893	10000	10000	818251	16	2	0.0017	II	10072339	10072597	258	FALSE
