Gene	RANGE	N_INFORMATIVE	NumVar	NumPolyVar	V6	OptFreq	Zmax	NumPerm	ActualPerm	Stat	NumGreater	NumEqual	PermPvalue	CHROM	POS	endPOS	size	significant
WBGene00011781	I:12385765-12388791	129	125	124	NA	0.023256	764.621	10000	10000	764.621	0	0	0	I	12385765	12388791	3026	TRUE
WBGene00012257	X:11065132-11066811	129	6	6	NA	0.007752	764.6	10000	10000	764.6	0	0	0	X	11065132	11066811	1679	TRUE
WBGene00008855	I:11570885-11571230	129	11	11	NA	0.025255	709.212	10000	10000	709.212	0	0	0	I	11570885	11571230	345	TRUE
WBGene00201448	I:11943665-11943815	129	6	6	NA	0.007752	690.148	10000	10000	690.148	0	0	0	I	11943665	11943815	150	TRUE
WBGene00019567	V:3992654-3994180	129	149	148	NA	0.003876	677.508	10000	10000	677.508	0	0	0	V	3992654	3994180	1526	TRUE
WBGene00019568	V:3997123-4001465	129	365	365	NA	0.031008	676.147	10000	10000	676.147	1	0	1e-04	V	3997123	4001465	4342	FALSE
WBGene00017062	V:4338876-4341308,V:4338911-4341308	129	46	45	NA	0.024423	666.9	10000	10000	666.9	0	0	0	V	4338876	4341308	2432	TRUE
WBGene00005953	V:3994779-3995938	129	109	109	NA	0.031008	661.966	10000	10000	661.966	0	0	0	V	3994779	3995938	1159	TRUE
WBGene00006782	V:5097108-5098907	129	12	11	NA	0.003876	656.459	10000	10000	656.459	3	0	3e-04	V	5097108	5098907	1799	FALSE
WBGene00009313	I:11512820-11513833	129	20	19	NA	0.007752	649.774	10000	10000	649.774	3	0	3e-04	I	11512820	11513833	1013	FALSE
WBGene00006260	V:3900496-3902558	129	27	27	NA	0.01938	646.655	10000	10000	646.655	3	0	3e-04	V	3900496	3902558	2062	FALSE
WBGene00199418	V:4116683-4116741	129	12	12	NA	0.003876	641.502	10000	10000	641.502	5	0	5e-04	V	4116683	4116741	58	FALSE
WBGene00007267	X:11262847-11266312	129	23	23	NA	0.007752	640.597	10000	10000	640.597	3	0	3e-04	X	11262847	11266312	3465	FALSE
WBGene00008856	I:11572089-11577488	129	201	201	NA	0.007752	639.624	10000	10000	639.624	4	0	4e-04	I	11572089	11577488	5399	FALSE
WBGene00022522	V:4296720-4299841	129	37	36	NA	0.01938	639.377	10000	10000	639.377	2	0	2e-04	V	4296720	4299841	3121	FALSE
WBGene00198542	X:15010169-15010286	129	3	3	NA	0.007752	634.782	10000	10000	634.782	2	0	2e-04	X	15010169	15010286	117	FALSE
WBGene00004001	X:10864968-10870237	129	63	62	NA	0.042636	623.464	10000	10000	623.464	1	0	1e-04	X	10864968	10870237	5269	FALSE
WBGene00005234	V:4005566-4007517	129	168	168	NA	0.031008	622.576	10000	10000	622.576	0	0	0	V	4005566	4007517	1951	TRUE
WBGene00001412	III:632023-634626	129	22	22	NA	0.007752	620.771	10000	10000	620.771	4	0	4e-04	III	632023	634626	2603	FALSE
WBGene00197014	I:10674282-10674414	129	3	3	NA	0.007752	616.746	10000	10000	616.746	4	0	4e-04	I	10674282	10674414	132	FALSE
WBGene00000646	II:1470039-1472260	129	27	27	NA	0.003876	616.615	10000	10000	616.615	7	0	7e-04	II	1470039	1472260	2221	FALSE
WBGene00009262	I:9492629-9494555,I:9492629-9494589	129	5	4	NA	0.007752	615.908	10000	10000	615.908	4	0	4e-04	I	9492629	9494555	1926	FALSE
WBGene00003664	I:11429071-11432064	129	69	69	NA	0.011628	601.487	10000	10000	601.487	4	0	4e-04	I	11429071	11432064	2993	FALSE
WBGene00015041	V:3958238-3961189,V:3958238-3961358	129	141	141	NA	0.027132	593.756	10000	10000	593.756	15	0	0.0015	V	3958238	3961189	2951	FALSE
WBGene00019471	V:3942214-3944519	129	311	311	NA	0.03876	593.224	10000	10000	593.224	8	0	8e-04	V	3942214	3944519	2305	FALSE
WBGene00017060	V:4327129-4328826	129	13	12	NA	0.003876	593.136	10000	10000	593.136	3	0	3e-04	V	4327129	4328826	1697	FALSE
WBGene00001883	II:13823647-13824058	129	3	2	NA	0.026367	592.826	10000	10000	592.826	12	0	0.0012	II	13823647	13824058	411	FALSE
WBGene00005245	V:4924917-4926224	129	21	20	NA	0.007752	590.928	10000	10000	590.928	6	0	6e-04	V	4924917	4926224	1307	FALSE
WBGene00020606	V:3907792-3908381	129	110	110	NA	0.03876	588.731	10000	10000	588.731	7	0	7e-04	V	3907792	3908381	589	FALSE
WBGene00005959	V:3912808-3914597	129	301	300	NA	0.003876	584.931	10000	10000	584.931	2	0	2e-04	V	3912808	3914597	1789	FALSE
WBGene00006274	V:3954038-3955460	129	160	160	NA	0.031008	584.807	10000	10000	584.807	11	0	0.0011	V	3954038	3955460	1422	FALSE
WBGene00199480	V:6875871-6876091	129	3	3	NA	0.007752	584.805	10000	10000	584.805	13	0	0.0013	V	6875871	6876091	220	FALSE
WBGene00001963	III:185651-186922	129	98	98	NA	0.003876	581.696	10000	10000	581.696	12	0	0.0012	III	185651	186922	1271	FALSE
WBGene00014183	I:11460779-11463068,I:11460967-11463068	129	29	29	NA	0.007752	580.985	10000	10000	580.985	17	0	0.0017	I	11460779	11463068	2289	FALSE
WBGene00005954	V:3931625-3933394	129	238	238	NA	0.034884	580.659	10000	10000	580.659	13	0	0.0013	V	3931625	3933394	1769	FALSE
WBGene00003715	V:4322120-4325507	129	69	68	NA	0.01938	579.245	10000	10000	579.245	5	0	5e-04	V	4322120	4325507	3387	FALSE
WBGene00007639	I:11586235-11587331	129	19	19	NA	0.007752	578.678	10000	10000	578.678	16	0	0.0016	I	11586235	11587331	1096	FALSE
WBGene00010650	I:11484769-11486536	129	38	38	NA	0.007752	578.158	10000	10000	578.158	12	0	0.0012	I	11484769	11486536	1767	FALSE
WBGene00005956	V:3921934-3922964	129	145	145	NA	0.034884	577.033	10000	10000	577.033	9	0	9e-04	V	3921934	3922964	1030	FALSE
WBGene00201199	IV:842804-842891	129	2	2	NA	0.025768	573.85	10000	10000	573.85	3	0	3e-04	IV	842804	842891	87	FALSE
WBGene00010434	X:15069712-15076480	129	40	40	NA	0.003876	572.148	10000	10000	572.148	18	0	0.0018	X	15069712	15076480	6768	FALSE
WBGene00004721	I:6407517-6409211	129	5	4	NA	0.007752	570.739	10000	10000	570.739	9	0	9e-04	I	6407517	6409211	1694	FALSE
WBGene00014189	I:11477821-11480071	129	38	38	NA	0.046512	569.113	10000	10000	569.113	11	0	0.0011	I	11477821	11480071	2250	FALSE
WBGene00044529	V:4336688-4338926	129	45	44	NA	0.007752	567.399	10000	10000	567.399	7	0	7e-04	V	4336688	4338926	2238	FALSE
WBGene00020370	V:4471378-4473602	129	80	80	NA	0.034884	567.371	10000	10000	567.371	17	0	0.0017	V	4471378	4473602	2224	FALSE
WBGene00016788	V:4040408-4042004	129	171	171	NA	0.027132	567.329	10000	10000	567.329	20	0	0.002	V	4040408	4042004	1596	FALSE
WBGene00008211	X:11994783-11995839	129	13	13	NA	0.034884	566.647	10000	10000	566.647	8	0	8e-04	X	11994783	11995839	1056	FALSE
WBGene00017413	V:4398718-4399503	129	9	8	NA	0.031008	566.543	10000	10000	566.543	13	0	0.0013	V	4398718	4399503	785	FALSE
WBGene00019141	II:2030749-2031944	129	93	93	NA	0.046512	566.002	10000	10000	566.002	12	0	0.0012	II	2030749	2031944	1195	FALSE
